Schär (Newcastle, DEF)
Botman (Newcastle, DEF)
Burn (Newcastle, DEF)
Hall (Newcastle, DEF)
Livramento (Newcastle, DEF)
A.Murphy (Newcastle, DEF)
Barnes (Newcastle, MID)
Elanga (Newcastle, MID)
J.Ramsey (Newcastle, MID)
J.Murphy (Newcastle, MID)
Joelinton (Newcastle, MID)
L.Miley (Newcastle, MID)
Willock (Newcastle, MID)
Touré (Newcastle, MID)
Steur (Newcastle, MID)
Woltemade (Newcastle, FWD)
Wissa (Newcastle, FWD)
Osula (Newcastle, FWD)
Neave (Newcastle, FWD)
Bamba (Newcastle, MID)
Horníček (Newcastle, GKP)
Dedić (Newcastle, DEF)
Fernandez-Pardo (Newcastle, FWD)
Delap (Nott'm Forest, FWD)
Muñoz (Nott'm Forest, DEF)
Sels (Nott'm Forest, GKP)
N.Williams (Nott'm Forest, DEF)
Morato (Nott'm Forest, DEF)
Milenković (Nott'm Forest, DEF)
Murillo (Nott'm Forest, DEF)
Aina (Nott'm Forest, DEF)
Jair Cunha (Nott'm Forest, DEF)
Savona (Nott'm Forest, DEF)
Abbott (Nott'm Forest, DEF)
Netz (Nott'm Forest, DEF)
Bindon (Nott'm Forest, DEF)
Gibbs-White (Nott'm Forest, MID)
Hudson-Odoi (Nott'm Forest, MID)
Ndoye (Nott'm Forest, MID)
Hutchinson (Nott'm Forest, MID)
Bakwa (Nott'm Forest, MID)
McAtee (Nott'm Forest, MID)
Dominguez (Nott'm Forest, MID)
I.Sangaré (Nott'm Forest, MID)
Yates (Nott'm Forest, MID)
Wood (Nott'm Forest, FWD)
Igor Jesus (Nott'm Forest, FWD)
Kalimuendo (Nott'm Forest, FWD)
Schlager (Nott'm Forest, MID)
Diomande (Nott'm Forest, DEF)
Van Hecke (Spurs, DEF)
Marmoush (Spurs, FWD)
Sávio (Spurs, MID)
Tonali (Spurs, MID)
Vicario (Spurs, GKP)
Austin (Spurs, GKP)
Kinsky (Spurs, GKP)
Dubravka (Spurs, GKP)
Senesi (Spurs, DEF)
Pedro Porro (Spurs, DEF)
Romero (Spurs, DEF)
Robertson (Spurs, DEF)
Van de Ven (Spurs, DEF)
Spence (Spurs, DEF)
Udogie (Spurs, DEF)
Phillips (Spurs, DEF)
Davies (Spurs, DEF)
Souza (Spurs, DEF)
Kudus (Spurs, MID)
Xavi (Spurs, MID)
Tel (Spurs, MID)
Maddison (Spurs, MID)
Bentancur (Spurs, MID)
Odobert (Spurs, MID)
P.M.Sarr (Spurs, MID)
Gallagher (Spurs, MID)
Bergvall (Spurs, MID)
Kulusevski (Spurs, MID)
Gray (Spurs, MID)
Moore (Spurs, MID)
Fernandes (Spurs, MID)
Solanke (Spurs, FWD)
Richarlison (Spurs, FWD)
Scarlett (Spurs, FWD)
Mudryk (Spurs, MID)
Danso (Sunderland, DEF)
Roefs (Sunderland, GKP)
Patterson (Sunderland, GKP)
Ballard (Sunderland, DEF)
Mukiele (Sunderland, DEF)
Hume (Sunderland, DEF)
Alderete (Sunderland, DEF)
Reinildo (Sunderland, DEF)
Seelt (Sunderland, DEF)
Hjelde (Sunderland, DEF)
O'Nien (Sunderland, DEF)
Masuaku (Sunderland, DEF)
Meunier (Sunderland, DEF)
E.Le Fée (Sunderland, MID)
Diarra (Sunderland, MID)
Xhaka (Sunderland, MID)
Sadiki (Sunderland, MID)
Adingra (Sunderland, MID)
Mundle (Sunderland, MID)
Rigg (Sunderland, MID)
Talbi (Sunderland, MID)
N.Angulo (Sunderland, MID)
Brobbey (Sunderland, FWD)
Isidor (Sunderland, FWD)
Fofana (Sunderland, MID)
